Name,Address,City,State,Zip,Geocodio Latitude,Geocodio Longitude,Geocodio Accuracy Score,Geocodio Accuracy Type,Geocodio Address Line 1,Geocodio Address Line 2,Geocodio Address Line 3,Geocodio House Number,Geocodio Street,Geocodio Unit Type,Geocodio Unit Number,Geocodio City,Geocodio State,Geocodio County,Geocodio Postal Code,Geocodio Country,Geocodio Source
ADAMS COUNTY DET CENTER,20 HOBO FORK RD.,NATCHEZ,MS,39120,31.555529,-91.219999,1,rooftop,20 Hobo Fork Rd,,"Natchez, MS 39120",20,Hobo Fork Rd,,,Natchez,MS,Adams County,39120,US,Adams
ADELANTO ICE PROCESSING CENTER,10250 RANCHO ROAD,ADELANTO,CA,92301,34.559429,-117.442237,1,rooftop,10250 Rancho Rd,,"Adelanto, CA 92301",10250,Rancho Rd,,,Adelanto,CA,San Bernardino County,92301,US,San Bernardino
ALAMANCE COUNTY DETENTION FACILITY,109 SOUTH MAPLE STREET,GRAHAM,NC,27253,36.068437,-79.403684,1,rooftop,109 S Maple St,,"Graham, NC 27253",109,S Maple St,,,Graham,NC,Alamance County,27253,US,Alamance
ALLEGANY COUNTY JAIL,4884 STATE ROUTE 19,BELMONT,NY,14813,42.212803,-78.016503,1,rooftop,4884 State Route 19,,"Belmont, NY 14813",4884,State Route 19,,,Belmont,NY,Allegany County,14813,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)"
ANCHORAGE CORRECTIONAL COMPLEX,1400 E. 4TH AVE,ANCHORAGE,AK,99501,61.218613,-149.855484,1,rooftop,1400 E 4th Ave,,"Anchorage, AK 99501",1400,E 4th Ave,,,Anchorage,AK,Anchorage Municipality,99501,US,Statewide AK
ALLEN PARISH PUBLIC SAFETY COMPLEX,7340 HIGHWAY 26 WEST,OBERLIN,LA,70655,30.622443,-92.774923,1,range_interpolation,7340 Hwy 26,,"Oberlin, LA 70655",7340,Hwy 26,,,Oberlin,LA,Allen Parish,70655,US,TIGER/Line® dataset from the US Census Bureau
BAKER COUNTY SHERIFF DEPT.,1 SHERIFF OFFICE DRIVE,MACCLENNY,FL,32063,30.29585,-82.121578,1,rooftop,1 Sheriffs Office Dr,,"Macclenny, FL 32063",1,Sheriffs Office Dr,,,Macclenny,FL,Baker County,32063,US,Baker
SOUTH LOUISIANA ICE PROCESSING CENTER,3843 STAGG AVENUE,BASILE,LA,70515,30.486648,-92.583629,0.9,range_interpolation,3843 E Stagg Ave,,"Basile, LA 70515",3843,E Stagg Ave,,,Basile,LA,Evangeline Parish,70515,US,TIGER/Line® dataset from the US Census Bureau
BLUEBONNET DETENTION FACILITY,400 2ND STREET,ANSON,TX,79501,32.767645,-99.888084,1,rooftop,400 2nd St,,"Anson, TX 79501",400,2nd St,,,Anson,TX,Jones County,79501,US,Statewide (CC 0 Texas Natural Resources Information System)
BOONE COUNTY JAIL,3020 CONRAD LANE,BURLINGTON,KY,41005,39.036478,-84.72846,1,rooftop,3020 Conrad Ln,,"Burlington, KY 41005",3020,Conrad Ln,,,Burlington,KY,Boone County,41005,US,"Boone (GIS Services Division, Boone County Planning Commission)"
ATLANTA US PEN,"601 MCDONOUGH BOULEVARD, SE",ATLANTA,GA,30315,33.709503,-84.365903,1,rooftop,601 McDonough Blvd SE,,"Atlanta, GA 30315",601,McDonough Blvd SE,,,Atlanta,GA,Fulton County,30315,US,City of Atlanta
BERLIN FED. CORR. INST.,1 SUCCESS LOOP DR.,BERLIN,NH,3570,44.521154,-71.135765,1,rooftop,1 Success Loop Rd,,"Berlin, NH 03570",1,Success Loop Rd,,,Berlin,NH,Coos County,3570,US,Statewide NH
BROOKLYN MDC,100 29TH STREET,BROOKLYN,NY,11232,40.659754,-74.00306,1,rooftop,100 29th St,,"Brooklyn, NY 11232",100,29th St,,,Brooklyn,NY,Kings County,11232,US,City of New York
HONOLULU FEDERAL DETENTION CENTER,351 ELLIOTT ST.,HONOLULU,HI,96819,21.338688,-157.930399,1,rooftop,351 Elliott St,,"Honolulu, HI 96819",351,Elliott St,,,Honolulu,HI,Honolulu County,96819,US,Honolulu (City of Honolulu)
LEAVENWORTH US PENITENTIARY,1300 METROPOLITAN AVE.,LEAVENWORTH,KS,66048,39.32985,-94.93635,1,rooftop,1300 Metropolitan Ave,,"Leavenworth, KS 66048",1300,Metropolitan Ave,,,Leavenworth,KS,Leavenworth County,66048,US,Statewide KS
MIAMI FEDERAL DETENTION,33 NE 4 STREET,MIAMI,FL,33132,25.778461,-80.193132,1,rooftop,33 NE 4th St,,"Miami, FL 33132",33,NE 4th St,,,Miami,FL,Miami-Dade County,33132,US,Miami Dade (CC0 1.0 Miami-Dade County)
FDC PHILADELPHIA,700 ARCH ST.,PHILADELPHIA,PA,19106,39.952533,-75.152046,1,rooftop,700 Arch St,,"Philadelphia, PA 19106",700,Arch St,,,Philadelphia,PA,Philadelphia County,19106,US,Philadelphia
BROWARD COUNTY JAIL,555 SE 1ST AVENUE,FT.LAUDERDALE,FL,33301,26.115998,-80.141619,1,rooftop,555 SE 1st Ave,,"Fort Lauderdale, FL 33301",555,SE 1st Ave,,,Fort Lauderdale,FL,Broward County,33301,US,City of Fort Lauderdale
BROOME COUNTY JAIL,897 FRONT STREET,BINGHAMTON,NY,13905,42.127538,-75.907343,1,range_interpolation,897 Front St,,"Binghamton, NY 13905",897,Front St,,,Binghamton,NY,Broome County,13905,US,TIGER/Line® dataset from the US Census Bureau
BUFFALO SERVICE PROCESSING CENTER,4250 FEDERAL DRIVE,BATAVIA,NY,14020,43.021006,-78.199812,1,rooftop,4250 Federal Dr,,"Batavia, NY 14020",4250,Federal Dr,,,Batavia,NY,Genesee County,14020,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)"
BURLEIGH COUNTY,P.O. BOX 1416,BISMARCK,ND,58502,46.79608348,-100.7256794,1,place,PO Box 1416,,"Bismarck, ND 58502",1416,PO Box,,,Bismarck,ND,Burleigh County,58502,US,TIGER/Line® dataset from the US Census Bureau
BUTLER COUNTY JAIL,705 HANOVER STREET,HAMILTON,OH,45011,39.389759,-84.555672,1,rooftop,705 Hanover St,,"Hamilton, OH 45011",705,Hanover St,,,Hamilton,OH,Butler County,45011,US,Butler
MESA VERDE ICE PROCESSING CENTER,425 GOLDEN STATE AVE,BAKERSFIELD,CA,93301,35.379261,-119.00645,1,rooftop,425 Golden State Ave,,"Bakersfield, CA 93301",425,Golden State Ave,,,Bakersfield,CA,Kern County,93301,US,Kern (Kern County)
DESERT VIEW ANNEX,10450 RANCHO ROAD,ADELANTO,CA,92301,34.559297,-117.436763,1,rooftop,10450 Rancho Rd,,"Adelanto, CA 92301",10450,Rancho Rd,,,Adelanto,CA,San Bernardino County,92301,US,San Bernardino
CALHOUN COUNTY CORRECTIONAL CENTER,185 EAST MICHIGAN AVENUE,BATTLE CREEK,MI,49014,42.315719,-85.176527,1,range_interpolation,185 E Michigan Ave,,"Battle Creek, MI 49014",185,E Michigan Ave,,,Battle Creek,MI,Calhoun County,49014,US,TIGER/Line® dataset from the US Census Bureau
CAROLINE DETENTION FACILITY,11093 S.W. LEWIS MEMORIAL DRIVE,BOWLING GREEN,VA,22427,38.111586,-77.267148,0.82,rooftop,11093 S W Lewis Memorial Dr,,"Bowling Green, VA 22427",11093,S W Lewis Memorial Dr,,,Bowling Green,VA,Caroline County,22427,US,Virginia Geographic Information Network (VGIN)
CASS COUNTY JAIL,336 MAIN STREET,PLATTSMOUTH,NE,68048,41.011788,-95.882949,1,rooftop,336 Main St,,"Plattsmouth, NE 68048",336,Main St,,,Plattsmouth,NE,Cass County,68048,US,Statewide NE
COASTAL BEND DETENTION FACILITY,4909 FM 2826,ROBSTOWN,TX,78380,27.736711,-97.754746,1,rooftop,4909 Farm To Market Rd 2826,,"Robstown, TX 78380",4909,Farm To Market Rd 2826,,,Robstown,TX,Nueces County,78380,US,Statewide (CC 0 Texas Natural Resources Information System)
"CCA, FLORENCE CORRECTIONAL CENTER",1100 BOWLING ROAD,FLORENCE,AZ,85232,33.044083,-111.371772,0.8,rooftop,1100 N Bowling Rd,,"Florence, AZ 85132",1100,N Bowling Rd,,,Florence,AZ,Pinal County,85132,US,Pinal
T DON HUTTO DETENTION CENTER,1001 WELCH STREET,TAYLOR,TX,76574,30.565083,-97.419699,1,rooftop,1001 Welch St,,"Taylor, TX 76574",1001,Welch St,,,Taylor,TX,Williamson County,76574,US,City of Round Rock
NORTHEAST OHIO CORRECTIONAL CENTER,2240 HUBBARD ROAD,YOUNGSTOWN,OH,44505,41.131341,-80.631519,1,rooftop,2240 Hubbard Rd,,"Youngstown, OH 44505",2240,Hubbard Rd,,,Youngstown,OH,Mahoning County,44505,US,Mahoning
OTAY MESA DETENTION CENTER,7488 CALZADA DE LA FUENTE,SAN DIEGO,CA,92154,32.5758861,-116.9146057,0.67,nearest_rooftop_match,7363 Calzada De Fuente,,"San Diego, CA 92154",7363,Calzada De Fuente,,,San Diego,CA,San Diego County,92154,US,San Diego Geographic Information Source - JPA
CHASE COUNTY JAIL,301 SOUTH WALNUT STREET,COTTONWOOD FALL,KS,66845,38.367077,-96.538429,1,rooftop,301 S Walnut St,,"Cottonwood Falls, KS 66845",301,S Walnut St,,,Cottonwood Falls,KS,Chase County,66845,US,Statewide KS
CHIPPEWA COUNTY SSM,325 COURT STREET,SAULT STE MARIE,MI,49783,46.498387,-84.345679,1,range_interpolation,325 Court St,,"Sault Sainte Marie, MI 49783",325,Court St,,,Sault Sainte Marie,MI,Chippewa County,49783,US,TIGER/Line® dataset from the US Census Bureau
CIBOLA COUNTY CORRECTIONAL CENTER,2000 CIBOLA LOOP,MILAN,NM,87021,35.179638,-107.907698,1,rooftop,2000 Cibola Loop,,"Milan, NM 87021",2000,Cibola Loop,,,Milan,NM,Cibola County,87021,US,Statewide NM
CLARK COUNTY JAIL (IN),501 EAST COURT AVE.,JEFFERSONVILLE,IN,47130,38.277403,-85.737,1,rooftop,501 E Court Ave,,"Jeffersonville, IN 47130",501,E Court Ave,,,Jeffersonville,IN,Clark County,47130,US,"Address Points of Indiana: Address Points Maintained by Local Government Agencies in Indiana, (Indiana Geographic Information Office, File Geodatabase, Point Feature Class)"
CLAY COUNTY JUSTICE CENTER,611 EAST JACKSON STREET,BRAZIL,IN,47834,39.523729,-87.119076,1,rooftop,611 E Jackson St,,"Brazil, IN 47834",611,E Jackson St,,,Brazil,IN,Clay County,47834,US,"Address Points of Indiana: Address Points Maintained by Local Government Agencies in Indiana, (Indiana Geographic Information Office, File Geodatabase, Point Feature Class)"
CLINTON COUNTY JAIL,25 MCCARTHY DRIVE,PLATTSBURGH,NY,12901,44.720019,-73.466723,1,rooftop,25 McCarthy Dr,,"Plattsburgh, NY 12901",25,McCarthy Dr,,,Plattsburgh,NY,Clinton County,12901,US,"NYS GIS Program Office, State Geographic Information Officer (GIO)"
CLINTON COUNTY JAIL,301 E WALNUT STREET,FRANKFORT,IN,46041,40.279346,-86.509033,1,rooftop,301 E Walnut St,,"Frankfort, IN 46041",301,E Walnut St,,,Frankfort,IN,Clinton County,46041,US,"Address Points of Indiana: Address Points Maintained by Local Government Agencies in Indiana, (Indiana Geographic Information Office, File Geodatabase, Point Feature Class)"
CLINTON COUNTY CORRECTIONAL FACILITY,58 PINE MOUNTAIN RD.,MCELHATTAN,PA,17748,41.151143,-77.34938,0.9,rooftop,58 Pine Mountain Rd,,"Lock Haven, PA 17745",58,Pine Mountain Rd,,,Lock Haven,PA,Clinton County,17745,US,Clinton
COLLIER COUNTY NAPLES JAIL CENTER,3347 TAMIAMI TRAIL E,NAPLES,FL,34112,26.1297,-81.763432,1,rooftop,3347 Tamiami Trl E,,"Naples, FL 34112",3347,Tamiami Trl E,,,Naples,FL,Collier County,34112,US,Collier (Public Domain Collier County)
CAMPBELL CO DET CTR,601 CENTRAL AVE,NEWPORT,KY,41071,39.089156,-84.497376,0.95,range_interpolation,601 Central Ave,,"Newport, KY 41071",601,Central Ave,,,Newport,KY,Campbell County,41071,US,TIGER/Line® dataset from the US Census Bureau
NORTHWEST ICE PROCESSSING CENTER,1623 E. J STREET,TACOMA,WA,98421,47.249288,-122.421653,1,rooftop,1623 E J St,,"Tacoma, WA 98421",1623,E J St,,,Tacoma,WA,Pierce County,98421,US,City of Tacoma
CUMBERLAND COUNTY JAIL,50 COUNTY WAY,PORTLAND,ME,4102,43.65117,-70.28184,1,rooftop,50 County Way,,"Portland, ME 04102",50,County Way,,,Portland,ME,Cumberland County,4102,US,Maine Office of GIS
DAKOTA COUNTY JAIL,1601 BROADWAY,DAKOTA CITY,NE,68731,42.416071,-96.419792,1,rooftop,1601 Broadway St,,"Dakota City, NE 68731",1601,Broadway St,,,Dakota City,NE,Dakota County,68731,US,Statewide NE
DALLAS COUNTY JAIL - LEW STERRETT JUSTICE CENTER,111 WEST COMMERCE STREET,DALLAS,TX,75202,32.778541,-96.814318,1,rooftop,111 W Commerce St,,"Dallas, TX 75207",111,W Commerce St,,,Dallas,TX,Dallas County,75207,US,Dallas
DENVER CONTRACT DETENTION FACILITY,3130 OAKLAND ST,AURORA,CO,80010,39.760873,-104.84918,1,rooftop,3130 N Oakland St,,"Aurora, CO 80010",3130,N Oakland St,,,Aurora,CO,Adams County,80010,US,Adams
DELANEY HALL DETENTION FACILITY,451 DOREMUS AVENUE,NEWARK,NJ,7105,40.717813,-74.127639,1,rooftop,451 Doremus Ave,,"Newark, NJ 07105",451,Doremus Ave,,,Newark,NJ,Essex County,7105,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
DODGE COUNTY JAIL,215 WEST CENTRAL STREET,JUNEAU,WI,53039,43.372221,-88.710157,0.5,place,,,"Juneau, WI 53039",,,,,Juneau,WI,Dodge County,53039,US,TIGER/Line® dataset from the US Census Bureau
ELOY FEDERAL CONTRACT FACILITY,1705 EAST HANNA RD.,ELOY,AZ,85131,32.817595,-111.522377,1,rooftop,1705 E Hanna Rd,,"Eloy, AZ 85131",1705,E Hanna Rd,,,Eloy,AZ,Pinal County,85131,US,Pinal
EDEN DETENTION CTR,702 E BROADWAY ST,EDEN,TX,76837,31.21662,-99.834003,1,rooftop,702 E Broadway St,,"Eden, TX 76837",702,E Broadway St,,,Eden,TX,Concho County,76837,US,Statewide Partial
EAST HIDALGO DETENTION CENTER,1330 HIGHWAY 107,LA VILLA,TX,78562,26.294017,-97.918988,0.7,nearest_rooftop_match,1305 E Highway 107,,"La Villa, TX 78562",1305,E Highway 107,,,La Villa,TX,Hidalgo County,78562,US,Statewide Partial
EL VALLE DETENTION FACILITY,1800 INDUSTRIAL DRIVE,RAYMONDVILLE,TX,78580,26.467284,-97.761644,1,rooftop,1800 Industrial Dr,,"Raymondville, TX 78580",1800,Industrial Dr,,,Raymondville,TX,Willacy County,78580,US,Statewide (CC 0 Texas Natural Resources Information System)
ELIZABETH CONTRACT DETENTION FACILITY,625 EVANS STREET,ELIZABETH,NJ,7201,40.666175,-74.188848,1,range_interpolation,625 Evans St,,"Elizabeth, NJ 07201",625,Evans St,,,Elizabeth,NJ,Union County,7201,US,TIGER/Line® dataset from the US Census Bureau
EL PASO SERVICE PROCESSING CENTER,8915 MONTANA AVE.,EL PASO,TX,79925,31.793762,-106.369208,1,rooftop,8915 Montana Ave,,"El Paso, TX 79925",8915,Montana Ave,,,El Paso,TX,El Paso County,79925,US,Statewide (CC 0 Texas Natural Resources Information System)
EL PASO SOFT SIDED FACILITY,12501 GATEWAY BLVD S,EL PASO,TX,79934,31.808211,-106.442803,0.65,street_center,Gateway Blvd S,,"El Paso, TX 79930",,Gateway Blvd S,,,El Paso,TX,El Paso County,79930,US,TIGER/Line® dataset from the US Census Bureau
ERIE COUNTY JAIL,DEPARTMENT OF CORRECTIONS 1618 ASH STREET,ERIE,PA,16503,42.124733,-80.065949,1,range_interpolation,1618 Ash St,,"Erie, PA 16503",1618,Ash St,,,Erie,PA,Erie County,16503,US,TIGER/Line® dataset from the US Census Bureau
ETOWAH COUNTY JAIL (ALABAMA),827 FORREST AVENUE,GADSDEN,AL,35901,34.016468,-86.012404,1,rooftop,827 Forrest Ave,,"Gadsden, AL 35901",827,Forrest Ave,,,Gadsden,AL,Etowah County,35901,US,Etowah
FAYETTE COUNTY DETENTION CENTER,600 OLD FRANKFORD CR,LEXINGTON,KY,40510,38.065632,-84.545141,1,rooftop,600 Old Frankfort Cir,,"Lexington, KY 40510",600,Old Frankfort Cir,,,Lexington,KY,Fayette County,40510,US,Lexington Fayette (Public Domain)
FINNEY COUNTY JAIL,304 N. 9TH STREET,GARDEN CITY,KS,67846,37.967505,-100.876101,1,rooftop,304 N 9th St,,"Garden City, KS 67846",304,N 9th St,,,Garden City,KS,Finney County,67846,US,Statewide KS
FOLKSTON ANNEX IPC,3424 HIGHWAY 252 EAST,FOLKSTON,GA,31537,30.838002,-81.999781,0.7,street_center,State Rte 252,,"Folkston, GA 31537",,State Rte 252,,,Folkston,GA,Charlton County,31537,US,TIGER/Line® dataset from the US Census Bureau
FOLKSTON MAIN IPC,3026 HWY 252 EAST,FOLKSTON,GA,31537,30.838002,-81.999781,0.7,street_center,State Rte 252,,"Folkston, GA 31537",,State Rte 252,,,Folkston,GA,Charlton County,31537,US,TIGER/Line® dataset from the US Census Bureau
FLORENCE SERVICE PROCESSING CENTER,3250 NORTH PINAL PARKWAY,FLORENCE,AZ,85132,33.063608,-111.379047,1,range_interpolation,3250 N Pinal Pkwy,,"Florence, AZ 85132",3250,N Pinal Pkwy,,,Florence,AZ,Pinal County,85132,US,TIGER/Line® dataset from the US Census Bureau
FLOYD COUNTY JAIL,2526 NEW CALHOUN HWY,ROME,GA,30161,34.280012,-85.141532,1,rooftop,2526 New Calhoun Hwy,,"Rome, GA 30161",2526,New Calhoun Hwy,,,Rome,GA,Floyd County,30161,US,Floyd
FREEBORN COUNTY ADULT DETENTION CENTER,411 SOUTH BROADWAY AVENUE,ALBERT LEA,MN,56007,43.646149,-93.368026,1,rooftop,411 Broadway Ave S,,"Albert Lea, MN 56007",411,Broadway Ave S,,,Albert Lea,MN,Freeborn County,56007,US,Freeborn
PRINCE EDWARD COUNTY (FARMVILLE),508 WATERWORKS ROAD,FARMVILLE,VA,23901,37.32058,-78.440928,1,rooftop,508 Water Works Rd,,"Farmville, VA 23901",508,Water Works Rd,,,Farmville,VA,Prince Edward County,23901,US,Virginia Geographic Information Network (VGIN)
FLORENCE STAGING FACILITY,3250 NORTH PINAL PARKWAY,FLORENCE,AZ,85232,33.063608,-111.379047,0.9,range_interpolation,3250 N Pinal Pkwy,,"Florence, AZ 85132",3250,N Pinal Pkwy,,,Florence,AZ,Pinal County,85132,US,TIGER/Line® dataset from the US Census Bureau
GEAUGA COUNTY JAIL,12450 MERRITT DR,CHARDON,OH,44024,41.504957,-81.192105,1,rooftop,12450 Merritt Rd,,"Chardon, OH 44024",12450,Merritt Rd,,,Chardon,OH,Geauga County,44024,US,Geauga
GRAND FORKS COUNTY CORRECTIONAL FACILITY,1701 NORTH WASHINGTON ST,GRAND FORKS,ND,58203,47.935496,-97.057652,1,rooftop,1701 N Washington St,,"Grand Forks, ND 58203",1701,N Washington St,,,Grand Forks,ND,Grand Forks County,58203,US,City of Grand Forks
